date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2011-02-16,61.69,60.97,-0.006135497234049225,0.010756296665143734,-0.012167285486728822,0.45953232937844013,0.011739903301822565,61.9191,64.753015,67.69734,2,16,2,62.31299328315316,66.94747366585226,42.46251869648682,-3.3419201972513477,-3.35810428409512,71.5025681168328,58.003461883167205,0.012945612192965505,0.025786027703749662,0.026344957293670895,-414000.0,-0.9076200889096241,0,0,-1,0,0,-0.01394128259799904,0.6030075318630498,0.204510499998641,0.40934049962606117,-0.000971659919028367,-0.11770594965675063,-0.11969748701942617,0.034673366834170785,0.0
2011-02-17,62.29,61.69,0.03143677342356429,0.017036734790346012,0.03997866408803631,0.020834086902842053,0.009679056044506968,61.6481,64.402015,67.18867666666667,3,17,2,62.30881268621622,66.64699149386179,19.923126726165563,-3.134525115497752,-3.3133884503756463,70.8783611135281,57.92566888647191,0.013697770925051643,0.026010020089101468,0.026414570587112506,-365500.0,-0.6522242520634687,0,0,-1,0,0,0.005673528934997592,1.1789290967746153,0.2156711276957149,0.4128962685093393,0.009562398703403474,-0.10128408599047756,-0.7262829358660229,0.01236153475678284,0.0
2011-02-18,62.942,62.29,0.0011276682628734607,0.011881327886752686,0.0019342365798309684,-0.27064588529921313,0.010412768160235009,61.595299999999995,64.05061500000001,66.69074333333333,4,18,2,62.423937652358724,66.40795978458038,24.518848417369185,-2.884303611383139,-3.227571482577145,69.9957869076646,58.10544309233543,0.01252454228042197,0.026038646703708025,0.026529481916008825,-328500.0,-0.37294632256832433,0,0,-1,0,0,-0.0028897094236635047,0.2582227813770615,0.14577405016388473,0.41335070192809914,0.03693574958813839,-0.1004430470201515,-2.099565774995252,0.02224269962822914,0.0
2011-02-22,70.802,62.942,0.07234687129856587,0.11373636372467194,0.038849035022260316,1.0895624531481918,0.1176735814619719,62.44530000000001,64.167715,66.44947666666665,1,22,2,63.94722171556623,66.69144625009133,63.867164701762604,-2.02838301857102,-2.98773378977592,70.55443399863096,57.78099600136904,0.04059757007560166,0.038656636328534985,0.0357930419756206,-218500.0,2.077525252456579,0,0,-1,0,0,0.0608178958406151,3.4106462376845803,0.8061322545022578,0.6136550774854111,0.17691450988214585,0.034209757522641215,2.2316570656973695,0.09306234287167027,0.0
2011-02-23,73.9299,70.802,0.05959333495238735,0.06371772308952624,0.08247041325718285,0.022472855852058576,0.04323009804896601,63.693290000000005,64.48474,66.31780666666667,2,23,2,65.76225413091782,67.15844326621448,70.38300511707241,-1.0851553972103005,-2.6072181112627963,72.09824024859581,56.8712397514042,0.040406327232418014,0.03957148000001973,0.03680044345852309,-106000.0,2.4811610144077987,0,0,-1,0,0,0.0009604248467557108,2.6328208930383172,0.7859382166572275,0.6281777705449106,0.21256191569624416,0.09380908840735391,1.81765626128531,0.07737059024832982,0.0
2011-02-24,72.95,73.9299,0.040917940248909566,-0.007013857906996234,0.03312104462041307,-1.4271163556401458,-0.01334307196843215,64.81329000000001,64.85824,66.22527333333333,3,24,2,67.0691170162055,67.53209208774904,69.68620925326123,-0.4119616152643175,-2.1681668120631006,73.35858826615326,56.35789173384673,0.04151952834816855,0.038899907269393526,0.03653505981654127,-133000.0,1.90386552330328,0,0,-1,0,0,-0.0013512800639525443,-0.5416644422653243,0.8596825234845471,0.6175168839497336,0.18252553088020762,0.11408063530849111,1.5124817980301437,0.03877998629198072,0.0
2011-02-25,68.49,72.95,-0.03964881506975018,-0.05936379680452388,-0.05781365721078455,0.5753641449035618,-0.06308652575898097,65.49229,65.07024,66.09660666666667,4,25,2,67.3274593768954,67.59389259821684,60.855556228321305,-0.2356193460443592,-1.7816573188593523,73.71694874857809,56.423531251421906,0.04830897865163519,0.04139853126389643,0.037338161287802096,-181000.0,0.7909969213574723,0,0,-1,0,0,-0.027278958190541592,0.17950744196542845,1.1043497877475867,0.6571813102056145,0.09953443570396536,0.06599221789883258,0.6637117678898854,0.03737771937509108,0.0
2011-02-28,65.54,68.49,-0.06026356806393801,-0.06026356806393801,-0.04975554227766785,0.30318625898774626,-0.044027105939145085,65.97629,64.865745,65.89794,0,28,2,67.00246676291442,67.46138339833189,56.50101590921868,-0.33010196308235606,-1.4913462477039532,73.24780954796255,56.483680452037454,0.05070851745222546,0.038122372189053004,0.03807471322835249,-246000.0,0.16088041225210925,0,0,-1,0,0,-0.02452912833990353,0.8177529248484462,1.1980342939233062,0.6051738972004757,0.04127609545295674,-0.05873769745468538,0.9810977322272065,0.026396093988404087,0.0
2011-03-01,70.33,65.54,-0.028851074892008867,0.05320659532461052,-0.005083581771189946,0.4156692782824061,0.07053780704925831,66.99339,64.914745,65.95727333333333,1,1,3,67.6074728060209,67.64645543714919,65.39432351656276,-0.018256697649647435,-1.1967283376930922,73.41776983280292,56.41172016719707,0.05404320579438953,0.04167826816695568,0.03971961069514032,-147500.0,1.2737243760853334,0,0,-1,0,0,-0.009612450411962308,1.7921252075131306,0.9071360744144433,0.6616219958737476,-0.006666478348069327,0.014131218457101635,0.37383312827758797,0.08120290061140337,0.0
2011-03-02,70.6,70.33,0.08360342996736164,0.011416116251782718,0.05761305093158288,-0.22695792338968052,0.0038316941792695346,67.95639,65.142245,66.09514,2,2,3,68.15156865947164,67.8370066992686,65.35829070033805,0.2478130310813782,-0.9078200639381981,74.00885883427804,56.27563116572197,0.054199067417714165,0.040045109245513424,0.03925700601258118,-69000.0,1.231079891829842,0,0,-1,0,0,0.0034124840039811586,0.9976401275905212,0.8247177190548985,0.6356964017282515,-0.04504131616571927,0.06888720666161996,1.025013483377888,0.03796033994334268,0.0
