date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2016-01-13 05:00:00,14.420907974243164,14.910504341125488,-0.0005907442581628089,-0.005246193374591508,-0.03375573158093425,0.6496769697031131,-0.03338685771226468,15.66270751953125,16.148301792144775,16.347256978352863,2,13,1,15.433866785963163,16.118211298676925,17.676717668358066,-0.4817220621658951,-0.25090676562492786,17.8060798949315,14.490523689358051,0.014789091489805601,0.018721116167989754,0.017235144516461735,-72610600.0,-2.0839867712064275,0.0,0.0,-1,0.0,0.0,0.010149370640513185,1.3571576459524517,0.2526218532491688,0.2971885058763084,-0.08629453095835693,-0.10249336251618268,0.7031229435028555,0.06728395686754966,0.0
2016-01-14 05:00:00,14.963915824890137,14.420907974243164,-0.033657021414460184,-0.004686619791395939,0.011173287909203682,-0.24432422450335373,0.03696259510748812,15.471319484710694,16.074861764907837,16.276932621002196,3,14,1,15.348421156677157,16.043740622948746,23.11322029992604,-0.49401098171838953,-0.29952760884362023,17.808011853856552,14.341711675959122,0.022793234929417077,0.020138929468388474,0.01828611492497163,-51697400.0,-1.281996229987874,0.0,0.0,-1,0.0,0.0,0.009876501808057199,0.6237112815589154,0.438770017370383,0.31969559426655675,-0.023242586485606287,-0.08938269922636888,0.8661396614706816,0.04937536883256077,0.0
2016-01-15 05:00:00,14.31408405303955,14.963915824890137,-0.025380634475944717,-0.03647650959001695,-0.02184184820893209,0.1928990522227133,-0.0443977399104656,15.240762710571289,15.967149639129639,16.186430803934734,4,15,1,15.160359865106683,15.932149876502994,19.393958020006338,-0.5498477297579285,-0.3495916330264819,17.857935017831227,14.076364260428049,0.02491903313301601,0.021854676073902336,0.01963082029322906,-77060100.0,-1.7485491528660493,0.0,0.0,-1,0.0,0.0,-0.05116008400344068,1.0610360133785788,0.5086555105921508,0.34693222725251427,-0.04228727709565072,-0.13081125799818538,0.5011346796419237,0.035447742383623596,0.0
2016-01-19 05:00:00,14.64345359802246,14.31408405303955,0.02538071745693612,0.020495166287023376,0.02922197269302236,-0.16645066024723246,0.022749430831843755,15.060946655273437,15.895490169525146,16.117886861165363,1,19,1,15.066376907455005,15.849008181117153,25.52790075527487,-0.5610539050636838,-0.3918840874339223,17.875339192378,13.915641146672295,0.027629421782133998,0.022433048036967152,0.0201240935290217,-55586400.0,-1.2647798463931077,0.0,0.0,-1,0.0,0.0,0.01741314725004987,0.5588365224362924,0.5557762598430726,0.3561135975298847,-0.01378866416398894,-0.08914730475580668,-0.17531179951963816,0.02674775158970844,0.0
2016-01-20 05:00:00,14.572239875793455,14.64345359802246,-0.0024479984921080273,-0.010194956156854982,-0.02230569727105968,0.26028406844222113,-0.004875041787506489,14.872228717803955,15.818489789962769,16.03895769119263,2,20,1,14.976533810789268,15.766636032386593,21.272437958362204,-0.5691207620757641,-0.42733142236229066,17.8809097621474,13.756069817778139,0.027399438121907004,0.022378681231413185,0.019816248703721846,-83444200.0,-1.2085316579330987,0.0,0.0,-1,0.0,0.0,-0.007902761282642456,1.3345089072337448,0.5528385009220302,0.3552505512474479,-0.022686319496185492,-0.09557993659157593,0.0794730396070663,0.038485038615943025,0.0
2016-01-21 05:00:00,14.963915824890137,14.572239875793455,0.01399460275297413,0.030278250282277753,0.018622401649642416,-0.4539382659061465,0.026523350866128326,14.790331840515137,15.74237880706787,15.976645024617513,3,21,1,14.97423963153488,15.714847631902952,29.20701158754963,-0.5377104374470232,-0.44940722537923716,17.813390506402076,13.671367107733666,0.027742908710928618,0.022633968891673212,0.020639261357830656,-65751100.0,-0.7517707238718125,0.0,0.0,-1,0.0,0.0,0.010995501971436283,0.09035719249368204,0.5187290316496875,0.3593031172184374,0.03765420676817488,-0.09233332211100553,-1.1945841788091407,0.049970266464895316,0.0
2016-01-22 05:00:00,15.177562713623049,14.963915824890137,0.03736014399444559,0.015090523972832177,0.036236135977744575,-0.23259713108083654,0.01417650873096582,14.776088905334472,15.666268348693848,15.920267168680827,4,22,1,15.011207464641819,15.68018408878812,34.179736704885684,-0.4899303978253329,-0.4575118598684563,17.700694925756302,13.631841771631393,0.026902571415561665,0.02268963464211679,0.02087571320741497,-51729800.0,-0.4804357557857409,0.0,0.0,-1,0.0,0.0,0.02201102977647708,-0.3844693630218868,0.4569861075111939,0.36018678361174233,0.014277471968770605,-0.09115149466220607,-1.3839076040893277,0.02932551450871496,0.0
2016-01-25 05:00:00,15.052933692932127,15.177562713623049,-0.010532883233097685,-0.011587952192727262,0.0023693176122137624,-0.42005976468129513,-0.008245298065155584,14.786770820617676,15.569238710403443,15.857361125946046,0,25,1,15.018794051603692,15.639716321313541,34.585012748985264,-0.4568545576318268,-0.45738039942113046,17.5205408347925,13.61793658601439,0.02577466569217193,0.022091867054212972,0.020844547890328715,-60941900.0,-0.529190237655247,0.0,0.0,-1,0.0,0.0,-0.002932798814280406,-0.9156561604383764,0.25408720362253523,0.35069751733529164,0.05161696949346073,-0.11419600107839933,-0.2952646616560366,0.015375531119335048,0.0
2016-01-26 05:00:00,15.444615364074709,15.052933692932127,0.0029369609438973238,0.018476404889558613,0.00589989071713241,0.5386499760863863,0.025687520510407544,14.846413326263427,15.490902996063232,15.815819613138835,1,26,1,15.096216108416604,15.627129162782005,39.59857357317734,-0.39448885656136135,-0.44480209084917666,17.32043730109336,13.661368691033106,0.02675206368662008,0.023178942232834173,0.021422306423664716,-45155200.0,-0.05060045265208739,0.0,0.0,-1,0.0,0.0,0.008279235985500353,-0.22124131234150385,0.2643267268141807,0.36795430080966857,0.054711257879797026,-0.09209828502284367,-0.2759286661448718,0.027665679059522115,0.0
2016-01-27 05:00:00,15.213173866271973,15.444615364074709,0.014556652484142936,0.002286121660072554,-0.0011768360687067173,-0.22624907983830655,-0.015098668260306718,14.876680278778077,15.405891275405883,15.779322528839112,2,27,1,15.117481155299398,15.600422369458778,43.574356585912085,-0.3595938101734788,-0.42776043471403713,17.11088408344548,13.700898467366287,0.02743684027450617,0.023295519861490643,0.021207177345967717,-57745400.0,-0.2260624305571089,0.0,0.0,-1,0.0,0.0,-0.002881557234239258,-0.6839812610393896,0.3082771810182346,0.3698049132928205,0.04398321712664077,-0.10052583045700492,-0.40856811109615,0.031597478683789045,0.0
2016-01-28 05:00:00,14.848190307617188,15.213173866271973,-0.004055103797610842,0.003418105914472328,-0.018426122951220588,0.32911641935803343,-0.024283761195913602,14.919408512115478,15.291058015823364,15.738670698801677,3,28,1,15.06851918299354,15.551891268694806,44.55846961357568,-0.3572719487631435,-0.4136627375238584,16.80113312764931,13.780982903997415,0.02629532945347824,0.02322622440761642,0.02146314661736468,-75242500.0,-0.5865505692238987,0.0,0.0,-1,0.0,0.0,0.008191213457522592,-0.07562422053782793,0.33099141500576806,0.36870488206518925,-0.0077336386162008,-0.13395652076207365,0.4597593152144919,0.05455634476995408,0.0
2016-01-29 05:00:00,15.711663246154783,14.848190307617188,-0.02348904138319435,0.006237629363593113,0.009552281249391854,0.07695215073445996,0.056525325459091696,14.994183254241943,15.232751369476318,15.714635594685872,4,29,1,15.185454467204675,15.562199138208355,57.9334940715431,-0.282500319241926,-0.38743025386747193,16.56436929996658,13.901133438986056,0.029837105440236482,0.027276141887758017,0.023747042202260038,-56345800.0,0.7192932232478186,0.0,0.0,-1,0.0,0.0,0.008992761450715538,0.032724973825692616,0.5414145163995311,0.43299532896191745,0.03519013840426033,-0.06909272484282103,0.9586472218953472,0.048725248098513925,0.0
