AMAT
AMZN
BHVN
CAPR
CRM
FIG
FNMA
GE
GOOGL
HGRAF
HIMS
INTC
IONQ
MCHP
META
NEGG
NVDA
OKLO
OPEN
PLTR
QBTS
QQQ
RBLX
RDDT
RGTI
RIVN
SNAP
SPRB
SRPT
U
UBER
UNH
UUUU
