date,open,high,low,close,volume
2015-11-30 00:00:00-05:00,127.63563917623891,128.1406233563036,125.99443054199219,125.99443054199219,16633832
2015-12-01 00:00:00-05:00,126.20484882053846,127.29898795211689,125.69985122233628,126.96231842041016,11318854
2015-12-02 00:00:00-05:00,126.62565065701048,127.21480553498935,125.74192503939943,126.12066650390625,9206923
2015-12-03 00:00:00-05:00,126.62568490838103,127.29901069336452,126.12070061868205,126.37319946289062,13139431
2015-12-04 00:00:00-05:00,126.54150851365169,128.43520266468187,126.07859626872873,128.3089599609375,12144801
2015-12-07 00:00:00-05:00,128.0144372604124,128.0985946282743,126.75196955271399,127.80402374267578,13913859
2015-12-08 00:00:00-05:00,126.54148651618065,127.84603889048145,125.86816094958789,127.04647064208984,11114491
2015-12-09 00:00:00-05:00,126.33105501366411,128.72974601644705,126.07855628752993,128.22476196289062,10550039
2015-12-10 00:00:00-05:00,128.09855873798148,130.16059455559935,127.80398793491497,128.98228454589844,9824333
2015-12-11 00:00:00-05:00,127.59357090573772,128.81395285407197,126.87817320512276,127.34107208251953,13126452
2015-12-14 00:00:00-05:00,127.34107208251953,128.1827258941021,125.27904972131977,127.34107208251953,13575410
2015-12-15 00:00:00-05:00,127.93021539956915,128.81394110213324,127.17273239773826,127.59355926513672,12383177
2015-12-16 00:00:00-05:00,128.18270875883482,131.4230406636008,128.01438069876357,130.37098693847656,15405835
2015-12-17 00:00:00-05:00,131.17654047332195,131.64290165005835,129.43825572599366,129.52305603027344,12107430
2015-12-18 00:00:00-05:00,128.84474882601833,129.6502980631366,128.37838745117188,128.37838745117188,17349168
2015-12-21 00:00:00-05:00,128.97193106559433,129.73508002444922,127.82720762731198,128.8871307373047,8496553
2015-12-22 00:00:00-05:00,129.26870727539062,129.86226908605693,127.86960982783408,129.26870727539062,8817309
2015-12-23 00:00:00-05:00,129.39589329871447,131.43095270646725,129.39589329871447,131.21897888183594,7464970
2015-12-24 00:00:00-05:00,131.0069621464888,131.13414911250104,130.11662638653308,130.71017456054688,2820882
2015-12-28 00:00:00-05:00,130.3286264058854,131.4309496637764,129.7774647769399,131.00698852539062,5541585
2015-12-29 00:00:00-05:00,131.47333396765373,133.46600642333544,131.43093380924856,132.61805725097656,6969397
2015-12-30 00:00:00-05:00,132.61804991304206,133.29639841424634,131.4733266930583,131.64291381835938,6077847
2015-12-31 00:00:00-05:00,130.83738444082684,133.5083919129053,130.54059683352745,132.06689453125,10914634
2016-01-04 00:00:00-05:00,129.52303715838252,130.41337272892503,128.2511272720458,130.20138549804688,13120985
2016-01-05 00:00:00-05:00,130.07425455262972,130.75260318430526,129.09911827039267,130.32862854003906,11513181
2016-01-06 00:00:00-05:00,128.33597702013094,130.24384953500717,127.40324084607353,128.25119018554688,13073243
2016-01-07 00:00:00-05:00,125.70732010266215,127.02163040786803,122.31556420113453,122.82432556152344,19252709
2016-01-08 00:00:00-05:00,123.79944102012207,124.22340200041059,120.1532847968982,120.61965942382812,15544512
2016-01-11 00:00:00-05:00,121.00126552470508,126.85205547880257,119.77174191193366,121.17085266113281,12192835
2016-01-12 00:00:00-05:00,121.93400686409281,122.44276829565499,120.15332160521986,121.42523193359375,9949593
2016-01-13 00:00:00-05:00,122.56993989641667,123.20590173025953,119.55974484764378,119.72933197021484,11626172
2016-01-14 00:00:00-05:00,120.02611991873299,124.01143755950298,119.94131960772566,123.20590209960938,13612468
2016-01-15 00:00:00-05:00,119.30540118798103,121.93402250326952,119.13581402237584,120.78929901123047,14486324
2016-01-19 00:00:00-05:00,121.76443533766431,122.48518416622106,119.55977518691954,120.78929901123047,10847674
2016-01-20 00:00:00-05:00,118.41501794552765,120.53486341923107,116.507146220048,118.7117919921875,18375368
2016-01-21 00:00:00-05:00,119.26295269589575,122.90909552737996,119.26295269589575,121.21321105957031,11692923
2016-01-22 00:00:00-05:00,121.04364229434195,121.0860424497185,117.48229922141448,119.72933197021484,18335013
2016-01-25 00:00:00-05:00,120.06853217150392,120.78928089194301,118.71182155124038,118.88140869140625,9358244
2016-01-26 00:00:00-05:00,119.00859434765925,121.00126684557597,118.92380752798798,120.02613067626953,8854138
