date,open,high,low,close,volume
2015-11-30 00:00:00-05:00,78.90004289450562,79.3453555374734,78.46462071917692,78.86045837402344,4449700
2015-12-01 00:00:00-05:00,79.51357669760692,80.25576940022921,78.82086652848261,80.16670989990234,3767400
2015-12-02 00:00:00-05:00,79.92920750918582,81.0870339314862,79.5828524042135,80.0380630493164,3379800
2015-12-03 00:00:00-05:00,80.11723060789805,81.20577843912446,78.73180266362128,79.09795379638672,4769100
2015-12-04 00:00:00-05:00,79.49379414960747,81.28495025634766,79.32556560311285,81.28495025634766,4341700
2015-12-07 00:00:00-05:00,80.9583910281375,81.00787356985143,79.46411490806784,79.84015655517578,2962500
2015-12-08 00:00:00-05:00,79.37503850752202,80.61202640512704,79.0286834061876,80.2359848022461,2105700
2015-12-09 00:00:00-05:00,79.98858524082632,80.55265140615919,78.39534426418922,78.88024139404297,3181000
2015-12-10 00:00:00-05:00,78.96930644125152,79.13753497489188,78.33596927344989,78.55367279052734,2032800
2015-12-11 00:00:00-05:00,77.48493116006857,78.05888785275438,75.85210549386491,76.06981658935547,4490700
2015-12-14 00:00:00-05:00,75.96095892868561,76.86148223955838,75.06042806783749,76.18856048583984,3946700
2015-12-15 00:00:00-05:00,76.85158015345831,77.05939319378112,76.16876048527322,76.5645980834961,3393500
2015-12-16 00:00:00-05:00,76.8317835950607,78.27658440120479,76.31720000587583,78.06877136230469,3749400
2015-12-17 00:00:00-05:00,78.14795854194739,78.49431368722487,77.22763912736667,77.61357879638672,2654300
2015-12-18 00:00:00-05:00,77.2969088876408,78.66254095945142,76.2281494140625,76.2281494140625,6721400
2015-12-21 00:00:00-05:00,77.48493153575271,77.51461803983162,75.63439476508618,76.48544311523438,3011600
2015-12-22 00:00:00-05:00,76.71304248788977,77.27710869919869,76.05001874915348,77.04950714111328,2100400
2015-12-23 00:00:00-05:00,77.38596114277729,78.07867890695591,77.12867309177317,77.22763061523438,2652800
2015-12-24 00:00:00-05:00,77.21773622320656,77.53440484313481,76.77242357173651,77.01982116699219,1084700
2015-12-28 00:00:00-05:00,76.8515912873933,77.3859634399414,76.57449964351147,77.3859634399414,2327400
2015-12-29 00:00:00-05:00,77.68283511134844,78.92972094814765,77.62346211196854,78.61305236816406,2230200
2015-12-30 00:00:00-05:00,78.47452308826729,79.05837781031028,78.14795643866239,78.3161849975586,1814700
2015-12-31 00:00:00-05:00,78.16773987721075,78.59326403104185,77.54430067275015,77.5838851928711,2463000
2016-01-04 00:00:00-05:00,76.33700029499947,76.40627131868013,74.85261474472081,75.9114761352539,4919200
2016-01-05 00:00:00-05:00,76.26772854863695,77.15836138035995,75.8718908956517,76.24794006347656,2656800
2016-01-06 00:00:00-05:00,74.93178340513565,76.52502449166661,74.84271634658454,75.495849609375,3484400
2016-01-07 00:00:00-05:00,74.34792751361161,74.81303623137553,72.70521129871715,73.52657318115234,6972200
2016-01-08 00:00:00-05:00,74.00156528801377,74.47657197879244,72.14113814491233,72.46770477294922,3673800
2016-01-11 00:00:00-05:00,72.97238868782215,73.0614557433476,71.11196158878832,72.41822052001953,3685100
2016-01-12 00:00:00-05:00,73.19999362778354,74.49635446811074,72.28957238953811,73.68489074707031,4108100
2016-01-13 00:00:00-05:00,74.20938080348107,74.9218870881618,71.0525926115977,71.59686279296875,4727500
2016-01-14 00:00:00-05:00,71.66612910140022,72.85364201437433,70.1322686366909,72.30936431884766,4738200
2016-01-15 00:00:00-05:00,69.14268311828567,70.31040007796821,67.47027294679764,70.12237548828125,9572100
2016-01-19 00:00:00-05:00,71.11197469466161,71.43854137514911,69.17237819991149,70.0630111694336,7353700
2016-01-20 00:00:00-05:00,68.41037978336975,70.09268794784526,66.24318199998022,69.59789276123047,8083600
2016-01-21 00:00:00-05:00,69.62757296058737,69.90465703200934,68.42027160655618,68.78642272949219,4635600
2016-01-22 00:00:00-05:00,69.71663563846498,70.89425054563601,69.56820312913673,70.80519104003906,3751800
2016-01-25 00:00:00-05:00,70.4885223944938,70.65675093828143,69.07340792327281,69.19215393066406,2765100
2016-01-26 00:00:00-05:00,69.23173681056365,69.37027884922315,68.49944209908126,69.1426773071289,2931200
2016-01-27 00:00:00-05:00,68.54892345539774,69.12288769746095,66.33224308084829,66.72808074951172,5487300
2016-01-28 00:00:00-05:00,66.18378696206038,66.7973355772045,64.59054620577656,65.00617980957031,8734000
2016-01-29 00:00:00-05:00,65.79786017800897,67.39110124358201,65.43171658093549,67.35151672363281,5612300
2016-02-01 00:00:00-05:00,66.88640416312214,68.37078960003093,66.37182053364931,67.7275619506836,4396400
2016-02-02 00:00:00-05:00,66.94579639728367,67.04475393368504,63.49212779203623,63.84837341308594,7636900
2016-02-03 00:00:00-05:00,64.73900486273388,65.80776435141269,62.581701173526106,64.65983581542969,7994500
2016-02-04 00:00:00-05:00,64.99629891015671,66.66870913138321,64.15514856544823,66.50047302246094,7220400
2016-02-05 00:00:00-05:00,62.45305039098198,62.61138470307734,57.14884527330569,57.90093231201172,19063800
2016-02-08 00:00:00-05:00,56.2780026007371,56.39675616168456,52.05245131920821,53.48735809326172,18025400
2016-02-09 00:00:00-05:00,53.0519381028502,57.97020324237569,52.24047433566325,56.73321533203125,16477700
2016-02-10 00:00:00-05:00,57.89103504568191,60.94886935550461,57.772285261559084,58.1483268737793,9859700
2016-02-11 00:00:00-05:00,56.59467345771187,59.22698376330341,55.991026486400656,58.62333679199219,7779000
2016-02-12 00:00:00-05:00,59.38531682851314,59.89990427725478,58.484789736962206,59.058753967285156,5081600
